po_office,state_name,lat,long
"Bowling Green, KY",Kentucky,36.97,-86.44
"New Orleans, LA",Louisiana,30.07,-89.93
"Baton Rouge, LA",Louisiana,30.45,-91.13
"Alexandria, LA",Louisiana,31.29,-92.46
"Lake Charles, LA",Louisiana,30.21,-93.2
"Monroe, LA",Louisiana,32.51,-92.08
"Shreveport, LA",Louisiana,32.47,-93.8
"Portland, ME",Maine,43.66,-70.28
"Boston, MA",Massachusetts,42.34,-71.02
"Springfield, MA",Massachusetts,42.12,-72.54
"Ann Arbor, MI",Michigan,42.28,-83.73
"Kalamazoo, MI",Michigan,42.27,-85.59
"Lansing, MI",Michigan,42.71,-84.55
"Hattiesburg, MS",Mississippi,31.31,-89.31
"Jefferson City, MO",Missouri,38.57,-92.19
"Billings, MT",Montana,45.79,-108.54
"Helena, MT",Montana,46.6,-112.03
"Missoula, MT",Montana,46.87,-114.01
"Lincoln, NE",Nebraska,40.82,-96.69
"Reno, NV",Nevada,39.54,-119.82
"Concord, NH",New Hampshire,43.23,-71.56
"Camden, NJ",New Jersey,39.94,-75.11
"Newark, NJ",New Jersey,40.72,-74.17
"Syracuse, NY",New York,43.04,-76.14
"Fayetteville, NC",North Carolina,35.07,-78.9
"Greenville, NC",North Carolina,35.6,-77.37
"Wilmington, NC",North Carolina,34.21,-77.91
"Asheville, NC",North Carolina,35.57,-82.55
"Bismarck, ND",North Dakota,46.81,-100.77
"Akron, OH",Ohio,41.08,-81.52
"Cincinnati, OH",Ohio,39.14,-84.51
"Columbus, OH",Ohio,39.99,-82.99
"Allentown, PA",Pennsylvania,40.6,-75.48
"Harrisburg, PA",Pennsylvania,40.28,-76.88
"Pittsburgh, PA",Pennsylvania,40.44,-79.98
"Charleston, SC",South Carolina,32.79,-79.99
"Sioux Falls, SD",South Dakota,43.54,-96.73
"Chattanooga, TN",Tennessee,35.07,-85.26
"Knoxville, TN",Tennessee,35.97,-83.95
"Jackson, TN",Tennessee,35.63,-88.83
"Beaumont, TX",Texas,30.09,-94.14
"Plano, TX",Texas,33.05,-96.75
"Tyler, TX",Texas,32.33,-95.3
"Abilene, TX",Texas,32.45,-99.74
"Ogden, UT",Utah,41.23,-111.97
"Danville, VA",Virginia,36.58,-79.41
"Lynchburg, VA",Virginia,37.4,-79.19
"Yakima, WA",Washington,46.59,-120.53
"Charleston, WV",West Virginia,38.35,-81.63
"Huntington, WV",West Virginia,38.41,-82.43
"Green Bay, WI",Wisconsin,44.52,-87.99
"Pine Bluff, AR",Arkansas,34.21,-92.02
"Hartford, CT",Connecticut,41.77,-72.68
"Dover, DE",Delaware,39.16,-75.53
"Ocala, FL",Florida,29.19,-82.13
"Albany, GA",Georgia,31.58,-84.18
"Terre Haute, IN",Indiana,39.47,-87.38
"Frankfort, KY",Kentucky,38.2,-84.86
"Owensboro, KY",Kentucky,37.76,-87.12
"Worcester, MA",Massachusetts,42.27,-71.81
"White Plains, NY",New York,41.02,-73.76
"Durham, NC",North Carolina,35.98,-78.91
"Eugene, OR",Oregon,44.05,-123.11
"Medford, OR",Oregon,42.34,-122.85
"Salem, OR",Oregon,44.92,-123.02
"Erie, PA",Pennsylvania,42.13,-80.09
"Arlington, TX",Texas,32.69,-97.13
"Harrisonburg, VA",Virginia,38.44,-78.87
"Everett, WA",Washington,47.96,-122.2
"Eau Claire, WI",Wisconsin,44.82,-91.49
"Roswell, NM",New Mexico,33.37,-104.53
